5615;MAR;CARRETERA CA-322 - BARRIO MAR, S/N;Polanco;NO;SI
5617;REQUEJADA;BARRIO REQUEJADA, 40;Polanco;NO;SI
5619;BARREDA;AVENIDA SOLVAY, 113;Torrelavega;NO;SI
5620;ALTAMIRA;BARRIO EL CEREZO, S/N;Torrelavega;NO;SI
5621;TORRELAVEGA-CENTRO;PLAZA ESTACIONES S/N;Torrelavega;NO;SI
5622;GANZO;AVENIDA OVIEDO, 61 - ESTACION FERROCARRIL, S/N;Torrelavega;NO;SI
5623;PUENTE SAN MIGUEL;BARRIO PUENTE SAN MIGUEL, 184;Reocín;NO;SI
5625;SANTA ISABEL DE QUIJAS;BARRIO LA VEGUILLA, S/N;Reocín;NO;SI
5627;SAN PEDRO DE RUDAGÜERA;CARRETERA CA-355 - ESTACION FERROCARRIL, S/N;Alfoz de Lloredo;NO;SI
5629;GOLBARDO;CARRETERA CA-354 - BARRIO GOLBARDO, S/N;Reocín;NO;SI
5631;CASAR DE PERIEDO;BARRIO CASAR, 22;Cabezón de la Sal;NO;SI
5633;VIRGEN DE LA PEÑA;BARRIO VIRGEN DE LA PEÑA, 42;Cabezón de la Sal;NO;SI
5635;ONTORIA;BARRIO ONTORIA, 200;Cabezón de la Sal;NO;SI
5637;CABEZON DE LA SAL;AVENIDA TEXTIL SANTANDERINA, 2;Cabezón de la Sal;NO;SI
5641;TRECEÑO;CARRETERA N-634 - ESTACION FERROCARRIL, S/N;Valdáliga;NO;SI
5643;ROIZ;BARRIO LAS CUEVAS, 20;Valdáliga;NO;SI
5644;EL BARCENAL;BARRIO EL BARCENAL, S/N;San Vicente de la Barquera;NO;SI
5645;SAN VICENTE DE LA BARQUERA;BARRIO LA ACEBOSA, 7;San Vicente de la Barquera;NO;SI
